crop_shared_id,crop_label_en,crop_country_count,active_shared_id,active_ingredient_label_en,active_country_count,jurisdiction,crop_local_labels,active_ingredient_local_labels,product_count,registration_use_count,source_record_count,pairing_status
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:52492,MANCOZEB,6,TW,香蕉,鋅錳乃浦,102,524,524,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:4388,DELTAMETHRIN,7,TW,香蕉,第滅寧,127,254,254,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:34631,CHLORPYRIFOS,4,TW,香蕉,陶斯松,104,208,208,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:45979,THIABENDAZOLE,4,TW,香蕉,腐絕,33,198,198,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,SHARED:AI:20e29d2d8281b7d6c30b,propiconazol,1,CN,香蕉,丙环唑,190,191,191,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:3390,CARBARYL,5,TW,香蕉,加保利,87,174,174,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:81760,DIFENOCONAZOLE,8,TW,香蕉,待克利,85,170,170,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:78780,pyraclostrobin,8,CN,香蕉 | 香蕉(果实),吡唑醚菌酯,147,164,164,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:81760,difenoconazole,8,CN,香蕉,苯醚甲环唑,146,150,150,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:40909,AZOXYSTROBIN,7,TW,香蕉,亞托敏,75,150,150,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:8489,PROPICONAZOLE,5,TW,香蕉,普克利,36,144,144,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_806,bananas,4,CHEBI:35014,THIOPHANATE-METHYL,6,TW,香蕉,甲基多保淨,81,139,139,official_pair_asserted
