active_shared_id,active_ingredient_label_en,active_country_count,jurisdiction,formulation_local_id,formulation_local_label,formulation_label_en,product_count,source_record_count
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,9,AU,AU:FORM:06c9421fa50b37f9aa81025c,SOLUBLE CONCENTRATE,SOLUBLE CONCENTRATE,13,13
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,9,AU,AU:FORM:65ae8915820da5e2b5c6daf9,DISPERSIBLE CONCENTRATE,DISPERSIBLE CONCENTRATE,5,5
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,9,AU,AU:FORM:0fb532081657b0142eaa25b1,BAIT,BAIT,2,2
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,9,AU,AU:FORM:42110162e06395fd53647c77,LIQUID,LIQUID,2,2
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,9,AU,AU:FORM:1304952488c6bbca3cf04962,MICRO EMULSION,MICRO EMULSION,1,1
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,9,AU,AU:FORM:c99d2758f29fb1f54b677ffc,WATER SOLUBLE GRANULES,WATER SOLUBLE GRANULES,1,1
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,9,TW,TW:FORM:8ed74468ea7bfcbfab08d708,SP 水溶性粉劑,,52,9568
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,9,TW,TW:FORM:8a97a1ceaac34b306f90fcad,SG 水溶性粒劑,,1,174
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,HU,HU:FORM:c844d3275279442dc1756c9b,vízoldható granulátum (SG),,22,22
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,HU,HU:FORM:12ae794aaae2d69c289e6652,folyékony vízoldható koncentrátum (SL),,21,21
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,HU,HU:FORM:ad73d551545c856307d4a838,"szuszpo-emulzió, (szilárd részeckék stabil vizes diszperziója) (SE)",,20,20
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,HU,HU:FORM:d851eef0196b3dd16986aebb,vízoldható por (SP),,14,14
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,JP,JP:FORM:aaf0c10d46fcd5660533079f,液剤,,6,217
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,JP,JP:FORM:cfc756d0bedf394461f3952e,粒剤,,4,309
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,JP,JP:FORM:e703070d906ed18296f0249d,水溶剤,,4,985
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,JP,JP:FORM:f006aa65cfa0b1c8b046766a,水和剤,,3,70
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,JP,JP:FORM:5120148dc922de459ae8842a,農薬肥料,,2,15
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,JP,JP:FORM:8c9b8dd5b6d492f76e88671c,くん煙剤,,1,31
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:8ebf5f70714dcd4edff322c9,수화제,,8,1944
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:8da6da3ecaa8e52ecaa1ee5c,액제,,8,57
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:8f3afb794eca64fcd82db32f,입상수용제,,3,39
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:f5d75756d0c93123826431a2,입상수화제,,3,84
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:1069ca8002841f8c4ed65b77,훈연제,,2,6
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:4868ac0ae0d651a09fa658fa,입제,,1,24
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:7aba8fb019934971f4b27756,분산성액제,,1,20
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:ac2594e688d13f8323679f51,수용제,,1,10
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:d675478c4d4774b1f1e1d9a4,미탁제,,1,37
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:5df78b43e89362186e68ea2b,직접살포액제,,1,4
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,KR,KR:FORM:8c748c6360ad504303ab5cd7,과립훈연제,,1,18
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:728977b4437220b9c39f93ec,Ready-to-Use Solution,Ready-to-Use Solution,22,22
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:06c9421fa50b37f9aa81025c,Soluble Concentrate,Soluble Concentrate,12,12
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:1779c328c72f885ea194cc20,Impregnated Materials,Impregnated Materials,12,12
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:0029b4170c1478fa2085f509,Wettable Powder,Wettable Powder,11,11
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:ec3a7dae6e58e9b3f5fbde37,Emulsifiable Concentrate,Emulsifiable Concentrate,10,10
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:46856be5c5779399c61d291c,Water Dispersible Granule,Water Dispersible Granule,4,4
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:d91d1149da19042184cc92bc,Flowable Concentrate,Flowable Concentrate,3,3
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:3e71a36e333a209a62e0154e,Water Soluble Packaging,Water Soluble Packaging,3,3
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:9279ad68dcb050abaacc0322,Technical Chemical,Technical Chemical,2,2
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:e88f41edeb329fba11b42808,Formulation Intermediate,Formulation Intermediate,1,1
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:d1297d0462c9bc695c3ec377,Pelleted/Tableted,Pelleted/Tableted,1,1
SHARED:AI:b22aaed213e313188e85,Acetamiprid,9,US,US:FORM:9eaf85bf4f6f0966d4b39ed4,Granular,Granular,1,1
CHEBI:70721,CLETHODIM,9,AU,AU:FORM:ec3a7dae6e58e9b3f5fbde37,EMULSIFIABLE CONCENTRATE,EMULSIFIABLE CONCENTRATE,92,92
CHEBI:70721,CLETHODIM,9,AU,AU:FORM:38c5b609cea286618049a780,OTHER LIQUIDS TO BE APPLIED UNDILUTED,OTHER LIQUIDS TO BE APPLIED UNDILUTED,1,1
CHEBI:70721,CLETHODIM,9,NZ,NZ:FORM:140aa6cd6f50d14aca814c04,Herbicide,Herbicide,18,144
CHEBI:70721,CLETHODIM,9,TW,TW:FORM:ccd8123415021166b05271a8,EC 乳劑,,13,25
CHEBI:81841,CYAZOFAMID,9,AU,AU:FORM:8384ab716757d8d5b587fe63,SUSPENSION CONCENTRATE,SUSPENSION CONCENTRATE,4,4
CHEBI:81841,CYAZOFAMID,9,TW,TW:FORM:ecb10ebbeef3ec6f6ba845f3,SC 水懸劑,,18,720
CHEBI:70721,Clethodim,9,JP,JP:FORM:f09a679c2f92de1acb6ed070,乳剤,,1,32
CHEBI:70721,Clethodim,9,KR,KR:FORM:cb10da9faa404da7a622c0e7,유제,,1,10
CHEBI:70721,Clethodim,9,US,US:FORM:ec3a7dae6e58e9b3f5fbde37,Emulsifiable Concentrate,Emulsifiable Concentrate,40,40
CHEBI:70721,Clethodim,9,US,US:FORM:e88f41edeb329fba11b42808,Formulation Intermediate,Formulation Intermediate,16,16
CHEBI:70721,Clethodim,9,US,US:FORM:06c9421fa50b37f9aa81025c,Soluble Concentrate,Soluble Concentrate,11,11
CHEBI:70721,Clethodim,9,US,US:FORM:9279ad68dcb050abaacc0322,Technical Chemical,Technical Chemical,7,7
CHEBI:70721,Clethodim,9,US,US:FORM:d91d1149da19042184cc92bc,Flowable Concentrate,Flowable Concentrate,1,1
CHEBI:70721,Clethodim,9,US,US:FORM:2e5716cf14375a607875e189,Formulation Intermediate | Technical Chemical,Formulation Intermediate | Technical Chemical,1,1
CHEBI:70721,Clethodim,9,US,US:FORM:728977b4437220b9c39f93ec,Ready-to-Use Solution,Ready-to-Use Solution,1,1
