active_shared_id,active_ingredient_label_en,country_count,jurisdiction,product_count,registration_use_count,crop_count,target_count,formulation_count,crop_examples,target_examples,formulation_examples
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,10,TW,69,9758,33,0,2,Allium sativum | Annona squamosa | Apium graveolens | Brassica rapa | Camellia sinensis | Chrysanthemum coronarium | Chrysanthemum morifolium | Ipomoea aquatica | Lycium chinense | Moringa oleifera | Sesamum indicum | bananas | chillies | coriander | cowpeas | eggplants | grapes | groundnuts | guavas | kaki | litchis | mint | okras | pears | peas,,SG 水溶性粒劑 | SP 水溶性粉劑
SHARED:AI:b22aaed213e313188e85,ACETAMIPRID,10,AU,35,35,51,76,6,"ABATTOIR (NON-PRODUCTION AREA) | AGRICULTURAL/FARM BUILDINGS | ANIMAL HOUSING | APPLE | AVOCADO | AZALEA | CITRUS | COMMERCIAL BUILDING/STRUCTURE - EXTERNAL | COMMERCIAL BUILDING/STRUCTURE-INTERNAL | COMMERCIAL/INDUSTRIAL LAND | COMMERCIAL/INDUSTRIAL PREMISES | COTTON | COTTON - REFER TO LABEL | DOMESTIC BUILDING/STRUCTURE - EXTERNAL A | DOMESTIC BUILDING/STRUCTURE-INTERNAL | DOMESTIC PREMISES | DOMESTIC, COMMERCIAL, INDUSTRIAL AND PUBLIC SERVICES BUILDINGS - INSIDE AND OUTSIDE | FOOD PROCESSING AND/OR PRESERVING PLANT | FUCHSIA | GERBERA | GRAPEVINE - TABLE GRAPES | GRAPEVINE - WINEGRAPES | INDOOR PLANT | INDUSTRIAL BUILDING/STRUCTURE-INTERNAL | INDUSTRIAL BUILDINGS/STRUCTURE - EXTERNA",APHID | APHIDS - RHOPALOSIPHUM SPP. | APPLE DIMPLING BUG - C. LIEBKNECHTI | AZALEA LACE BUG | BEAN POD BORER | BITING MIDGE | BLACK PEACH APHID | BLACK SCALE | CITRICOLA SCALE | CITROPHILOUS MEALY BUG | CITRUS LEAFMINER | CITRUS MEALY BUG | CLUSTER CATERPILLAR | COCKROACH | CODLING MOTH | CORN EARWORM | COTTON APHID | COTTON BUDWORM OR BOLLWORM | COTTON LOOPER | COTTONY CUSHION SCALE | FLEA | FLY | FRUIT SPOTTING BUG | FUNGUS GNAT | GRAPEVINE SCALE,BAIT | DISPERSIBLE CONCENTRATE | LIQUID | MICRO EMULSION | SOLUBLE CONCENTRATE | WATER SOLUBLE GRANULES
SHARED:AI:b22aaed213e313188e85,Acetamiprid,10,KR,30,2243,60,6,11,Allium tuberosum | Brassica juncea | Brassica napus | Camellia sinensis | Capsicum annuum | Carthamus tinctorius | Chrysanthemum coronarium | Daucus carota | Diospyros kaki | Fortunella margarita | Helianthus annuus | Helianthus tuberosus | Momordica charantia | Panax | Panicum miliaceum | Perilla frutescens | Pinus densiflora | Pinus koraiensis | Platycodon grandiflorum | Polymnia sonchifolia | Prunus armeniaca | Pteridium aquilinum | Punica granatum | basil | blueberries,Aphis glycines | Eriosoma lanigerum | Hyphantria cunea | Myzus persicae | Nilaparvata lugens | Trialeurodes vaporariorum,과립훈연제 | 미탁제 | 분산성액제 | 수용제 | 수화제 | 액제 | 입상수용제 | 입상수화제 | 입제 | 직접살포액제 | 훈연제
SHARED:AI:b22aaed213e313188e85,Acetamiprid,10,JP,20,1627,40,31,6,Amaranthus | Asparagus officinalis | Brassica oleracea var. gemmifera | Brassica oleracea var. italica | Calendula officinalis | Euphorbia pulcherrima | Eustoma grandiflorum | Malpighia glabra | Melissa officinalis | Platanus | Viola | basil | blueberries | cabbages | carambolas | cauliflowers | celery | chervil | dill | lawn grasses | lettuces | litchis | mangoes | marjoram | muskmelons,Agromyzidae | Agrotis ipsilon | Aleyrodidae | Aphididae | Aphis gossypii | Coccoidea | Dendrolimus spectabilis | Eriosoma lanigerum | Frankliniella occidentalis | Grapholita molesta | Helicoverpa armigera | Hellula undalis | Heteroptera | Hyphantria cunea | Leguminivora glycinivorella | Liriomyza sativae | Monochamus alternatus | Myzus persicae | Phthorimaea operculella | Phyllocnistis citrella | Phyllonorycter ringoniella | Phyllotreta striolata | Plutella xylostella | Pseudaulacaspis pentagona | Scirtothrips dorsalis,くん煙剤 | 水和剤 | 水溶剤 | 液剤 | 粒剤 | 農薬肥料
SHARED:AI:b22aaed213e313188e85,Acetamiprid,10,NL,7,124,0,0,0,,,
SHARED:AI:b22aaed213e313188e85,Acetamiprid,10,US,107,107,1075,489,12,AERIAL APPLICATION | AERIAL APPLICATION (FIXED WING) | AERIAL APPLICATION (ROTARY AIRCRAFT) | AGRICULTURAL BUILDINGS (INDOOR) | AGRICULTURAL BUILDINGS (OUTDOOR) | AIRCRAFT | ALMONDS (DELAYED DORMANT APPLICATION) | ALMONDS (DORMANT APPLICATION) | ALMONDS (FOLIAR TREATMENT) | ALMONDS (SOIL TREATMENT) | AMARANTHUS (FOLIAR TREATMENT) | ANIMAL CAGES | ANIMAL FEED (STORAGE AREAS-EMPTY) | ANIMAL LIVING QUARTERS | ANIMAL STABLES (UNSPECIFIED) (ENCLOSED PREMISE TREATMENT) | ANIMAL TRANSPORTATION VEHICLES | ANT HILLS | ANT HILLS (BAIT APPLICATION) | APARTMENT BUILDINGS (INDOOR) | APARTMENT BUILDINGS (INDOOR) (BAIT APPLICATION) | APARTMENTS (INDOOR) | APARTMENTS (OUTDOOR) | APPLES (BARK TREATMENT) | APPLES (DELAYED DORMANT APPLICATION) | APPLES (FOLIAR TREATMENT),ACROBAT ANTS | ADELGIDS | ALFALFA CATERPILLAR | ALFALFA LOOPER | AMERICAN COCKROACH | AMERICAN DOG TICK | ANTHRACNOSE | ANTS | APHIDS | APPLE MAGGOT | ARGENTINE ANT | ARMYWORM | ASIAN COCKROACH | ASIAN LADY BEETLES | ASIAN LADY BETTLES (EGGS) | ASPARAGUS APHID | ASPARAGUS BEETLE | ASPARAGUS MINER | AZALEA BARK SCALE | BAGWORM | BANDED CUCUMBER BEETLE | BANDED GRAPE BUG | BANDEDWINGED WHITEFLY | BANKS GRASS MITE | BEAN LEAF BEETLE,Emulsifiable Concentrate | Flowable Concentrate | Formulation Intermediate | Granular | Impregnated Materials | Pelleted/Tableted | Ready-to-Use Solution | Soluble Concentrate | Technical Chemical | Water Dispersible Granule | Water Soluble Packaging | Wettable Powder
SHARED:AI:b22aaed213e313188e85,Acetamiprid,10,HU,77,77,0,0,4,,,"folyékony vízoldható koncentrátum (SL) | szuszpo-emulzió, (szilárd részeckék stabil vizes diszperziója) (SE) | vízoldható granulátum (SG) | vízoldható por (SP)"
CHEBI:70721,CLETHODIM,10,NZ,18,144,0,0,1,,,Herbicide
CHEBI:70721,CLETHODIM,10,AU,124,124,55,43,2,ADZUKI BEAN | BEETROOT | BROAD BEAN | BROAD BEAN - REFER TO LABEL | CABBAGE | CANOLA | CANOLA - SEE LABEL | CELERY | CHICKPEA | CHICKPEA - SEE LABEL | CLOVER / MEDIC SEED CROP | CLOVER PASTURE | CLOVER/MEDIC PASTURE | COTTON | COTTON - REFER TO LABEL | DRIVEWAY | FABA BEAN | FABA BEAN - SEE LABEL | FIELD PEA | FIELD PEAS - REFER TO LABEL | FODDER BEET | FORAGE BRASSICAE | FORESTRY | FORESTRY SEEDLING | FORESTRY TREES,"ANNUAL GRASS | ANNUAL OR WIMMERA RYEGRASS | ANNUAL PHALARIS | ANNUAL RYEGRASS | ANNUAL WEEDS | BARLEY GRASS | BARNYARD GRASS - PRE EMERGENCE | BARNYARD GRASS OR WATER GRASS | BARNYARD OR WATER GRASS | BLOWN GRASS | BROME GRASS | BROME GRASS - BROMUS UNIOLOIDES | CANARY GRASS - PHALARIS MINOR | CANARY GRASSES | CROWSFOOT GRASS | FEATHERTOP | FEATHERTOP RHODES GRASS | GREAT, RIPGUT OR KINGSTON BROME | JOHNSON GRASS - SEEDLING | LESSER CANARY GRASS | LIVERSEED OR UROCHLOA GRASS | PARADOXA GRASS | PERENNIAL GRASS WEED | PERENNIAL WEED | RED SPRANGLETOP GRASS",EMULSIFIABLE CONCENTRATE | OTHER LIQUIDS TO BE APPLIED UNDILUTED
CHEBI:70721,CLETHODIM,10,TW,20,32,2,0,1,groundnuts | soybeans,,EC 乳劑
CHEBI:70721,Clethodim,10,NL,11,770,0,0,0,,,
CHEBI:70721,Clethodim,10,US,120,120,1670,93,7,ABELIA | ABELIA (FOLIAR TREATMENT) | ABELIA (GREENHOUSE-FOLIAR TREATMENT) | ABELIA (INTERIOR PLANTSCAPES) | ABELIA (NURSERY) | ABELIA (SOIL TREATMENT) | ACEROLA (NONBEARING) | ACORN SQUASH (SOIL TREATMENT) | ADZUKI BEANS (FOLIAR TREATMENT) | ADZUKI BEANS (SOIL TREATMENT) | AERIAL APPLICATION | AERIAL APPLICATION (FIXED WING) | AERIAL APPLICATION (ROTARY AIRCRAFT) | AFRICAN DAISY (FOLIAR TREATMENT) | AFRICAN DAISY (GREENHOUSE-FOLIAR TREATMENT) | AFRICAN DAISY (NURSERY) | AFRICAN TRAILING DAISY (FOLIAR TREATMENT) | AFRICAN TRAILING DAISY (NURSERY) | AFRICAN TRAILING DAISY (SOIL TREATMENT) | AGAVE (FOLIAR TREATMENT) | AGERATUM | AGERATUM (FOLIAR TREATMENT) | AGERATUM (GREENHOUSE-FOLIAR TREATMENT) | AGERATUM (INTERIOR PLANTSCAPES) | AGERATUM (NURSERY),AMAZON SPRANGLETOP | ANNUAL BLUEGRASS | ANNUAL GRASSES | ANNUAL WEEDS | BAHIAGRASS | BARLEY | BARLEY (VOLUNTEER) | BARNYARDGRASS | BEARDED SPRANGLETOP | BENTGRASS | BERMUDAGRASS | BROADLEAF SIGNALGRASS | BROADLEAF WEEDS | BROME | CALIFORNIA BROME | CANARYGRASS | CEDAR | CHEAT | CITROBACTER FREUNDII ATCC 8090 | CORN | CORN (VOLUNTEER) | CRABGRASS | CROWFOOTGRASS | DALLISGRASS | DOUGLAS-FIR,Emulsifiable Concentrate | Flowable Concentrate | Formulation Intermediate | Formulation Intermediate | Technical Chemical | Ready-to-Use Solution | Soluble Concentrate | Technical Chemical
CHEBI:70721,Clethodim,10,JP,1,32,3,3,1,Asparagus officinalis | cabbages | liquorice,Agrostis gigantea | Elymus repens | Poa annua,乳剤
CHEBI:70721,Clethodim,10,KR,1,10,8,0,1,Panax | Platycodon grandiflorum | garlic | onions | potatoes | sesame seed | soybeans | strawberries,,유제
CHEBI:81833,TRIFLOXYSTROBIN,10,TW,38,2056,23,2,2,Allium sativum | Allium tuberosum | Annona squamosa | Benincasa hispida | Lablab purpureus | Momordica charantia | bananas | common beans | cowpeas | grapes | guavas | kaki | litchis | loquats | peaches | pears | peas | plums | pumpkins | rice | soybeans | strawberries | tea,anthracnosis | powdery mildews,SC 水懸劑 | WG 水分散性粒劑
