id,start_id,predicate,end_id,jurisdiction,source_record_id,source_url,properties_json
EDGE:0000ef89053d35de103661f9,AU:USE:8803afccafb95aae90e4e967,usesProduct,AU:PRODUCT:47e4906967218687ec156295,AU,RAW:37ca83b9790fc21f7c19a9f7,https://portal.apvma.gov.au/pubcris,{}
EDGE:00021f4083cc87161a253eb7,AU:USE:36eb10d52505b1259844b48b,usesProduct,AU:PRODUCT:7feed95ebf8a4d6f19180bcc,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,{}
EDGE:68cfcdc215d9cef069b141b3,AU:USE:8803afccafb95aae90e4e967,hasActiveIngredient,AU:AI:a498de90efb76ac921129146,AU,RAW:37ca83b9790fc21f7c19a9f7,https://portal.apvma.gov.au/pubcris,{}
EDGE:ac81fd38eb30a8d551041fc2,AU:USE:36eb10d52505b1259844b48b,hasActiveIngredient,AU:AI:d22fdad88d35b630b33716b8,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,{}
EDGE:61a3b72fdc3a8fed9f4ca980,AU:REG:aacbf231422dfa045957f04e,hasRegistrationUse,AU:USE:8803afccafb95aae90e4e967,AU,RAW:37ca83b9790fc21f7c19a9f7,https://portal.apvma.gov.au/pubcris,{}
EDGE:b398fff2bf9571e61ea70d43,AU:REG:63afe985339ace4aaa43e35f,hasRegistrationUse,AU:USE:36eb10d52505b1259844b48b,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,{}
EDGE:0789544ff6a4cf4044d57164,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:da832736a1b2104afd1104e0,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:0c85975a06822ba2634633ae,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:be7e370408c84500e536e3a9,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:11211e35964b756c947a1dd1,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:71c0c609d29a511ca82400ac,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:16149b3e761791d2f7d928fc,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:6e5f5b9e2553f27ec114fe43,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:1665c0cd176d1363d7f760f4,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:994bef0057cdabccdd422f90,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:19178e229e0a9190cdf1a475,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:449a2ed0e8f20ce6383adbb2,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:1b7fc08eabdad17fcef1e6be,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:72a9cb3aa58dfdc6d9baef66,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:1dc5f4545d7f7521311a2fda,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:bdb24c8ff50dc9b1319072d1,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:20f319e238643f16f4236b46,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:0fc5dbc704c21a8c0603fc3c,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:215deea280beb52d9251e78a,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:98674aae56f4dde1f678861a,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:226fbcaded0d1b32d9d3aa82,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:712c8946a5779a21ede7b9e1,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:22ca04eae5460d4b217db2e9,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:1a8e92491d7f8dabb3766d6a,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:2b6290e6c05a7991ff338069,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:444f1faf757a9e5b07d524e3,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:355ce72a1c3586276d12e35f,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:f39617901c94080fe0588bc8,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:3dc48ed95a998d4e03433bd6,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:ebc43e22b502cd9dd558e62d,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:4373583f2114e773438ffb68,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:856c7dcdcada400ddeefae10,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:5cfe6fef35198865b8dd64b5,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:c8cf701f30ad11d3ee877dce,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:5e6c0b838905972e1669a514,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:118d04a70b92f12e333d3906,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:61cf47b1cc4b8cc652e4f0b9,AU:USE:8803afccafb95aae90e4e967,registeredForCrop,AU:CROP:5c599616ac500daae9e6b0bc,AU,RAW:37ca83b9790fc21f7c19a9f7,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:67e3ed358559f13cfdafc0d7,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:fc7d73b9605822541de5991f,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:6b267246d1efe32a719fadbc,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:7ed0f0da39d5b63b8ecc2cda,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:6e72d0a835d5dab63785a0b4,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:83aa68d5dbbb36c0b0fc16c0,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:6f09cddc600c00952399e08a,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:aaf555e3ba53511748b763f7,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:6f8f9716e719b2c8c88ca258,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:b69cfbef1e26e69efd9ee470,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:71bd03534a53324c425ff497,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:b26f05a3c4e0f27d470fad11,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:76f7ebed0d62260398bdcbab,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:5509840d0873adb040558882,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:783ef260eaa049413eddce66,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:aef2fb9dd3aabf7d7b1c0af4,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:7adeb7d5bfb4c8dab39d7bdc,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:564e04edd912323992a27eba,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:7ba7b80d7a4e3db409b35976,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:17f0c5ccf1b5286c1f6daab3,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:8fb167c1067d95bd3a4cebda,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:7036a136a06f126293409b17,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:95026f486aa51416f6816ef4,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:31e526596547792f07369210,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:9f8e19904ebe62f4ca6787b4,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:bfc6d7c32fad73eac2c8ccb6,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:a02d4b91d7a7d0d5e40d702f,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:16d0380361d0a3fd442c8915,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
EDGE:af8b75246cc84114667d472a,AU:USE:36eb10d52505b1259844b48b,registeredForCrop,AU:CROP:315600a556a5376ebaeccc4a,AU,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris,"{""pairing_status"": ""official_pair_asserted""}"
