id,type,label_original,label_en,jurisdiction,source_record_id,source_url,properties_json
AU:AI:a498de90efb76ac921129146,ActiveIngredientLocal,NAPHTHALOPHOS,NAPHTHALOPHOS,AU,RAW:db197b1ea5f07ce4d8632935,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_english_field""}"
AU:AI:d22fdad88d35b630b33716b8,ActiveIngredientLocal,GLYPHOSATE,GLYPHOSATE,AU,RAW:5f2ef3eb26004f52cc81b83f,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_english_field""}"
AU:CountryJurisdiction,CountryJurisdiction,Australia,Australia,AU,,,"{""sovereign_country"": ""Australia""}"
AU:CROP:0fc5dbc704c21a8c0603fc3c,CropLocal,"MANGO, OVER 3 YEARS OLD","MANGO, OVER 3 YEARS OLD",AU,RAW:510657fe71d5d8cf61297bf8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:118d04a70b92f12e333d3906,CropLocal,NAVY BEAN,NAVY BEAN,AU,RAW:9ea6374ed8b90be984872cab,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:16d0380361d0a3fd442c8915,CropLocal,NURSERY - PRIOR TO ESTABLISHMENT,NURSERY - PRIOR TO ESTABLISHMENT,AU,RAW:e7f909eaf686ba7fdec1b7e6,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:17f0c5ccf1b5286c1f6daab3,CropLocal,COMMERCIAL/INDUSTRIAL LAND,COMMERCIAL/INDUSTRIAL LAND,AU,RAW:9ea6374ed8b90be984872cab,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:1a8e92491d7f8dabb3766d6a,CropLocal,KIWI FRUIT OVER 3 YEARS OLD,KIWI FRUIT OVER 3 YEARS OLD,AU,RAW:510657fe71d5d8cf61297bf8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:1ac95444fb044216c61795b2,CropLocal,"PERSIMMON, OVER 3 YEARS OLD","PERSIMMON, OVER 3 YEARS OLD",AU,RAW:3f583f15fb33fc4d17fd799f,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:1ba2e5f41658911b065d5b65,CropLocal,FOREST - PRIOR TO PLANTING,FOREST - PRIOR TO PLANTING,AU,RAW:01dfbcd557a32c7f5fb6199b,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:2538188a8f99dfdd056746db,CropLocal,"MONSTERA FRUIT, OVER 3 YEARS OLD","MONSTERA FRUIT, OVER 3 YEARS OLD",AU,RAW:3f583f15fb33fc4d17fd799f,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:2577f5b8cc97eaa95aa02268,CropLocal,"OLIVE, OVER 3 YEARS OLD","OLIVE, OVER 3 YEARS OLD",AU,RAW:510657fe71d5d8cf61297bf8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:30601d91b653629188717ad6,CropLocal,VINEYARD - OVER 3 YEARS OLD,VINEYARD - OVER 3 YEARS OLD,AU,RAW:510657fe71d5d8cf61297bf8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:315600a556a5376ebaeccc4a,CropLocal,SUGAR CANE,SUGAR CANE,AU,RAW:758f7614474d83fd6e661754,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:31e526596547792f07369210,CropLocal,NON-CULTIVATED AREA - GENERAL,NON-CULTIVATED AREA - GENERAL,AU,RAW:3f8ad7c033f54d97a7659b59,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:43190c8e5b94802a9318de1d,CropLocal,"DUBOISIA OR CORKWOOD, OVER 3 YEARS OLD","DUBOISIA OR CORKWOOD, OVER 3 YEARS OLD",AU,RAW:510657fe71d5d8cf61297bf8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:444f1faf757a9e5b07d524e3,CropLocal,PUBLIC SERVICE AREA,PUBLIC SERVICE AREA,AU,RAW:5e9d79816050fd1e9e091efc,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:449a2ed0e8f20ce6383adbb2,CropLocal,"POME FRUIT, OVER 3 YEARS OLD","POME FRUIT, OVER 3 YEARS OLD",AU,RAW:510657fe71d5d8cf61297bf8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:524ae559ec73c305e42df318,CropLocal,NON-AGRICULTURAL AREA - GENERAL,NON-AGRICULTURAL AREA - GENERAL,AU,RAW:0352313629488f937f1afa82,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:5297a53c9c4492097a6d2e18,CropLocal,"LYCHEE, OVER 3 YEARS OLD","LYCHEE, OVER 3 YEARS OLD",AU,RAW:510657fe71d5d8cf61297bf8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:5509840d0873adb040558882,CropLocal,PEANUT,PEANUT,AU,RAW:3b87937a6e5df74a2e2f4222,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:564e04edd912323992a27eba,CropLocal,NUT OVER 3 YEARS OLD,NUT OVER 3 YEARS OLD,AU,RAW:510657fe71d5d8cf61297bf8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:56aee1c4c9c29fe7cdeccfbf,CropLocal,PAWPAW OVER 3 YEARS OLD,PAWPAW OVER 3 YEARS OLD,AU,RAW:510657fe71d5d8cf61297bf8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:5c599616ac500daae9e6b0bc,CropLocal,SHEEP,SHEEP,AU,RAW:ad37163f96a4f09f1660d006,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:69e399851c8419993d467570,CropLocal,COTTON,COTTON,AU,RAW:9ea6374ed8b90be984872cab,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:6e5f5b9e2553f27ec114fe43,CropLocal,AGRICULTURAL AREAS - SEE LABEL,AGRICULTURAL AREAS - SEE LABEL,AU,RAW:98b07050b846ccc3d06309b8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:7036a136a06f126293409b17,CropLocal,AQUATIC AREAS WEED CONTROL - SEE LABEL,AQUATIC AREAS WEED CONTROL - SEE LABEL,AU,RAW:e70806d228e19143ab1bb6b8,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
AU:CROP:712c8946a5779a21ede7b9e1,CropLocal,AGRICULTURAL/FARM BUILDINGS,AGRICULTURAL/FARM BUILDINGS,AU,RAW:724f7924ea46b8890e418c3a,https://portal.apvma.gov.au/pubcris,"{""english_status"": ""official_source_language_en""}"
