use_id,jurisdiction,product_id,product_label_original,product_label_en,product_label_search,active_ingredients_json,active_ingredients_search,crops_json,crops_search,targets_json,targets_search,formulations_json,formulations_search,registration_status,registration_date,expiry_date,pairing_status,source_record_id,source_url
AU:USE:36eb10d52505b1259844b48b,AU,AU:PRODUCT:7feed95ebf8a4d6f19180bcc,Fortin Herbicide,Fortin Herbicide,Fortin Herbicide | Fortin Herbicide,"[{""id"": ""AU:AI:d22fdad88d35b630b33716b8"", ""label_original"": ""GLYPHOSATE"", ""label_en"": ""GLYPHOSATE""}]",GLYPHOSATE,"[{""id"": ""AU:CROP:da832736a1b2104afd1104e0"", ""label_original"": ""CUSTARD APPLE OVER 3 YEARS OLD"", ""label_en"": ""CUSTARD APPLE OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:be7e370408c84500e536e3a9"", ""label_original"": ""BUILDINGS - AROUND"", ""label_en"": ""BUILDINGS - AROUND""}, {""id"": ""AU:CROP:71c0c609d29a511ca82400ac"", ""label_original"": ""DESSERT FIG OVER 3 YEARS OLD"", ""label_en"": ""DESSERT FIG OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:6e5f5b9e2553f27ec114fe43"", ""label_original"": ""AGRICULTURAL AREAS - SEE LABEL"", ""label_en"": ""AGRICULTURAL AREAS - SEE LABEL""}, {""id"": ""AU:CROP:994bef0057cdabccdd422f90"", ""label_original"": ""PASTURE"", ""label_en"": ""PASTURE""}, {""id"": ""AU:CROP:449a2ed0e8f20ce6383adbb2"", ""label_original"": ""POME FRUIT, OVER 3 YEARS OLD"", ""label_en"": ""POME FRUIT, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:72a9cb3aa58dfdc6d9baef66"", ""label_original"": ""RASPBERRY OVER 3 YEARS OLD"", ""label_en"": ""RASPBERRY OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:bdb24c8ff50dc9b1319072d1"", ""label_original"": ""WEED CONTROL BY CUT STUMP APPLICATION"", ""label_en"": ""WEED CONTROL BY CUT STUMP APPLICATION""}, {""id"": ""AU:CROP:0fc5dbc704c21a8c0603fc3c"", ""label_original"": ""MANGO, OVER 3 YEARS OLD"", ""label_en"": ""MANGO, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:98674aae56f4dde1f678861a"", ""label_original"": ""RIGHTS OF WAY"", ""label_en"": ""RIGHTS OF WAY""}, {""id"": ""AU:CROP:712c8946a5779a21ede7b9e1"", ""label_original"": ""AGRICULTURAL/FARM BUILDINGS"", ""label_en"": ""AGRICULTURAL/FARM BUILDINGS""}, {""id"": ""AU:CROP:1a8e92491d7f8dabb3766d6a"", ""label_original"": ""KIWI FRUIT OVER 3 YEARS OLD"", ""label_en"": ""KIWI FRUIT OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:444f1faf757a9e5b07d524e3"", ""label_original"": ""PUBLIC SERVICE AREA"", ""label_en"": ""PUBLIC SERVICE AREA""}, {""id"": ""AU:CROP:f39617901c94080fe0588bc8"", ""label_original"": ""CITRUS OVER 3 YEARS OLD"", ""label_en"": ""CITRUS OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:ebc43e22b502cd9dd558e62d"", ""label_original"": ""BLUEBERRY OVER 3 YEARS OLD"", ""label_en"": ""BLUEBERRY OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:856c7dcdcada400ddeefae10"", ""label_original"": ""PASTURE - SPOT APPLICATION"", ""label_en"": ""PASTURE - SPOT APPLICATION""}, {""id"": ""AU:CROP:c8cf701f30ad11d3ee877dce"", ""label_original"": ""FARM"", ""label_en"": ""FARM""}, {""id"": ""AU:CROP:118d04a70b92f12e333d3906"", ""label_original"": ""NAVY BEAN"", ""label_en"": ""NAVY BEAN""}, {""id"": ""AU:CROP:fc7d73b9605822541de5991f"", ""label_original"": ""DOMESTIC AREA - OUTDOORS"", ""label_en"": ""DOMESTIC AREA - OUTDOORS""}, {""id"": ""AU:CROP:7ed0f0da39d5b63b8ecc2cda"", ""label_original"": ""CHICKPEA"", ""label_en"": ""CHICKPEA""}, {""id"": ""AU:CROP:83aa68d5dbbb36c0b0fc16c0"", ""label_original"": ""COTTON - PRE-HARVEST"", ""label_en"": ""COTTON - PRE-HARVEST""}, {""id"": ""AU:CROP:aaf555e3ba53511748b763f7"", ""label_original"": ""GUAVA, OVER 3 YEARS OLD"", ""label_en"": ""GUAVA, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:b69cfbef1e26e69efd9ee470"", ""label_original"": ""FOREST - ESTABLISHED TREES"", ""label_en"": ""FOREST - ESTABLISHED TREES""}, {""id"": ""AU:CROP:b26f05a3c4e0f27d470fad11"", ""label_original"": ""STONE FRUIT OVER 3 YEARS OLD"", ""label_en"": ""STONE FRUIT OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:5509840d0873adb040558882"", ""label_original"": ""PEANUT"", ""label_en"": ""PEANUT""}, {""id"": ""AU:CROP:aef2fb9dd3aabf7d7b1c0af4"", ""label_original"": ""SOYBEAN"", ""label_en"": ""SOYBEAN""}, {""id"": ""AU:CROP:564e04edd912323992a27eba"", ""label_original"": ""NUT OVER 3 YEARS OLD"", ""label_en"": ""NUT OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:17f0c5ccf1b5286c1f6daab3"", ""label_original"": ""COMMERCIAL/INDUSTRIAL LAND"", ""label_en"": ""COMMERCIAL/INDUSTRIAL LAND""}, {""id"": ""AU:CROP:7036a136a06f126293409b17"", ""label_original"": ""AQUATIC AREAS WEED CONTROL - SEE LABEL"", ""label_en"": ""AQUATIC AREAS WEED CONTROL - SEE LABEL""}, {""id"": ""AU:CROP:31e526596547792f07369210"", ""label_original"": ""NON-CULTIVATED AREA - GENERAL"", ""label_en"": ""NON-CULTIVATED AREA - GENERAL""}, {""id"": ""AU:CROP:bfc6d7c32fad73eac2c8ccb6"", ""label_original"": ""ONION - POST-PLANT/PRE EMERGENCE"", ""label_en"": ""ONION - POST-PLANT/PRE EMERGENCE""}, {""id"": ""AU:CROP:16d0380361d0a3fd442c8915"", ""label_original"": ""NURSERY - PRIOR TO ESTABLISHMENT"", ""label_en"": ""NURSERY - PRIOR TO ESTABLISHMENT""}, {""id"": ""AU:CROP:315600a556a5376ebaeccc4a"", ""label_original"": ""SUGAR CANE"", ""label_en"": ""SUGAR CANE""}, {""id"": ""AU:CROP:56aee1c4c9c29fe7cdeccfbf"", ""label_original"": ""PAWPAW OVER 3 YEARS OLD"", ""label_en"": ""PAWPAW OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:1ba2e5f41658911b065d5b65"", ""label_original"": ""FOREST - PRIOR TO PLANTING"", ""label_en"": ""FOREST - PRIOR TO PLANTING""}, {""id"": ""AU:CROP:2538188a8f99dfdd056746db"", ""label_original"": ""MONSTERA FRUIT, OVER 3 YEARS OLD"", ""label_en"": ""MONSTERA FRUIT, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:fe6b9f1f7f5e68ed6626c5e5"", ""label_original"": ""CAMELLIA OR TEA, OVER 3 YEARS OLD"", ""label_en"": ""CAMELLIA OR TEA, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:e7943e0a8687b76414cf77ad"", ""label_original"": ""STEM INJECTION"", ""label_en"": ""STEM INJECTION""}, {""id"": ""AU:CROP:30601d91b653629188717ad6"", ""label_original"": ""VINEYARD - OVER 3 YEARS OLD"", ""label_en"": ""VINEYARD - OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:ae9b26d512e1254ff1154b8e"", ""label_original"": ""BANANA, OVER 3 YEARS OLD"", ""label_en"": ""BANANA, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:5297a53c9c4492097a6d2e18"", ""label_original"": ""LYCHEE, OVER 3 YEARS OLD"", ""label_en"": ""LYCHEE, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:43190c8e5b94802a9318de1d"", ""label_original"": ""DUBOISIA OR CORKWOOD, OVER 3 YEARS OLD"", ""label_en"": ""DUBOISIA OR CORKWOOD, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:e34f477e2482c266d88cad38"", ""label_original"": ""AVOCADO, OVER 3 YEARS OLD"", ""label_en"": ""AVOCADO, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:524ae559ec73c305e42df318"", ""label_original"": ""NON-AGRICULTURAL AREA - GENERAL"", ""label_en"": ""NON-AGRICULTURAL AREA - GENERAL""}, {""id"": ""AU:CROP:69e399851c8419993d467570"", ""label_original"": ""COTTON"", ""label_en"": ""COTTON""}, {""id"": ""AU:CROP:acd57afefedbd41ea1b56eac"", ""label_original"": ""FOLIAR APPLICATION"", ""label_en"": ""FOLIAR APPLICATION""}, {""id"": ""AU:CROP:1ac95444fb044216c61795b2"", ""label_original"": ""PERSIMMON, OVER 3 YEARS OLD"", ""label_en"": ""PERSIMMON, OVER 3 YEARS OLD""}, {""id"": ""AU:CROP:2577f5b8cc97eaa95aa02268"", ""label_original"": ""OLIVE, OVER 3 YEARS OLD"", ""label_en"": ""OLIVE, OVER 3 YEARS OLD""}]","CUSTARD APPLE OVER 3 YEARS OLD | BUILDINGS - AROUND | DESSERT FIG OVER 3 YEARS OLD | AGRICULTURAL AREAS - SEE LABEL | PASTURE | POME FRUIT, OVER 3 YEARS OLD | RASPBERRY OVER 3 YEARS OLD | WEED CONTROL BY CUT STUMP APPLICATION | MANGO, OVER 3 YEARS OLD | RIGHTS OF WAY | AGRICULTURAL/FARM BUILDINGS | KIWI FRUIT OVER 3 YEARS OLD | PUBLIC SERVICE AREA | CITRUS OVER 3 YEARS OLD | BLUEBERRY OVER 3 YEARS OLD | PASTURE - SPOT APPLICATION | FARM | NAVY BEAN | DOMESTIC AREA - OUTDOORS | CHICKPEA | COTTON - PRE-HARVEST | GUAVA, OVER 3 YEARS OLD | FOREST - ESTABLISHED TREES | STONE FRUIT OVER 3 YEARS OLD | PEANUT | SOYBEAN | NUT OVER 3 YEARS OLD | COMMERCIAL/INDUSTRIAL LAND | AQUATIC AREAS WEED CONTROL - SEE LABEL | NON-CULTIVATED AREA - GENERAL | ONION - POST-PLANT/PRE EMERGENCE | NURSERY - PRIOR TO ESTABLISHMENT | SUGAR CANE | PAWPAW OVER 3 YEARS OLD | FOREST - PRIOR TO PLANTING | MONSTERA FRUIT, OVER 3 YEARS OLD | CAMELLIA OR TEA, OVER 3 YEARS OLD | STEM INJECTION | VINEYARD - OVER 3 YEARS OLD | BANANA, OVER 3 YEARS OLD | LYCHEE, OVER 3 YEARS OLD | DUBOISIA OR CORKWOOD, OVER 3 YEARS OLD | AVOCADO, OVER 3 YEARS OLD | NON-AGRICULTURAL AREA - GENERAL | COTTON | FOLIAR APPLICATION | PERSIMMON, OVER 3 YEARS OLD | OLIVE, OVER 3 YEARS OLD",[],,[],,Registered - Current,2022-07-01,2027-06-30,official_pair_asserted,RAW:33c99f820a0947607c387a3a,https://portal.apvma.gov.au/pubcris
AU:USE:8803afccafb95aae90e4e967,AU,AU:PRODUCT:47e4906967218687ec156295,COMBAT ORAL DRENCH FOR SHEEP AND LAMBS,COMBAT ORAL DRENCH FOR SHEEP AND LAMBS,COMBAT ORAL DRENCH FOR SHEEP AND LAMBS | COMBAT ORAL DRENCH FOR SHEEP AND LAMBS,"[{""id"": ""AU:AI:a498de90efb76ac921129146"", ""label_original"": ""NAPHTHALOPHOS"", ""label_en"": ""NAPHTHALOPHOS""}]",NAPHTHALOPHOS,"[{""id"": ""AU:CROP:5c599616ac500daae9e6b0bc"", ""label_original"": ""SHEEP"", ""label_en"": ""SHEEP""}, {""id"": ""AU:CROP:9d23384be3fd6cce052968aa"", ""label_original"": ""LAMB"", ""label_en"": ""LAMB""}]",SHEEP | LAMB,[],,[],,Registered - Current,2026-07-01,2027-06-30,official_pair_asserted,RAW:37ca83b9790fc21f7c19a9f7,https://portal.apvma.gov.au/pubcris
CN:USE:d9edf31b8f455d8c7749f362,CN,CN:PRODUCT:4237d8ca7373cbe091c07b6b,毒死蜱,,毒死蜱 | ,"[{""id"": ""CN:AI:702d058054e4b53d74969dc4"", ""label_original"": ""毒死蜱"", ""label_en"": ""chlorpyrifos""}]",毒死蜱,[],,[],,[],,,,,official_pair_asserted,RAW:e9736db5c7a86e71a8314a94,http://www.chinapesticide.org.cn/
CN:USE:def2df6ded587a21ff0de445,CN,CN:PRODUCT:574e9f591e480c1fbb40d76e,噻苯隆,,噻苯隆 | ,"[{""id"": ""CN:AI:af56e7272111673ac9279a8a"", ""label_original"": ""噻苯隆"", ""label_en"": ""thidiazuron""}]",噻苯隆,[],,[],,[],,,,,official_pair_asserted,RAW:a36219bf8304f5ee71a0b1e8,http://www.chinapesticide.org.cn/
TW:USE:1f7095e021d7f95b0196c18c,TW,TW:PRODUCT:3a4600643163bcd7a9f17308,得來速,,得來速 | ,[],,[],,[],,[],,,,,official_pair_asserted,RAW:fff42cbbc4a42b49d8ccdab3,https://pesticide.aphia.gov.tw/information/Query/RegisterContent/?permno=AGD00010063960&regtid=10
TW:USE:aefacb9ab257934120776685,TW,TW:PRODUCT:f63c3d0104de75f061ba1c9d,新戰車,,新戰車 | ,[],,[],,[],,[],,,,,official_pair_asserted,RAW:d37edd97beb7fe18d099e232,https://pesticide.aphia.gov.tw/information/Query/RegisterContent/?permno=AGD00010044783&regtid=10
GB:USE:7d35fd78fbd820f9d46956a3,GB,GB:PRODUCT:d1843b1a236dc9a168c25451,Iconic,Iconic,Iconic | Iconic,"[{""id"": ""GB:AI:6e40d56e17cb466357ea584c"", ""label_original"": ""flufenacet"", ""label_en"": ""flufenacet""}]",flufenacet,"[{""id"": ""GB:CROP:ff0d692c1764d40ba5630a81"", ""label_original"": ""barley (winter), wheat (winter)"", ""label_en"": ""barley (winter), wheat (winter)""}]","barley (winter), wheat (winter)",[],,[],,Valid,29/05/2025,31/03/2030,pairing_not_asserted,RAW:39b3881bc12f080903af2fea,https://secure.pesticides.gov.uk/pestreg/getfullproduct.asp?productid=45559&pageno=1&origin=prodsearch
GB:USE:e3951f958f49e4d558c3ac6b,GB,GB:PRODUCT:0e74bafbfc40ae221f3ae6c7,Job Done General Purpose Weedkiller Sachets,Job Done General Purpose Weedkiller Sachets,Job Done General Purpose Weedkiller Sachets | Job Done General Purpose Weedkiller Sachets,"[{""id"": ""GB:AI:d22fdad88d35b630b33716b8"", ""label_original"": ""glyphosate"", ""label_en"": ""glyphosate""}]",glyphosate,"[{""id"": ""GB:CROP:fad5f146d9bc8a583e16fdb3"", ""label_original"": ""areas not intended to bear vegetation, unwanted vegetation"", ""label_en"": ""areas not intended to bear vegetation, unwanted vegetation""}]","areas not intended to bear vegetation, unwanted vegetation",[],,[],,Valid,12/06/2025,15/06/2029,pairing_not_asserted,RAW:e53a8d65df5d149502bcbe25,https://secure.pesticides.gov.uk/pestreg/getfullproduct.asp?productid=46005&pageno=1&origin=prodsearch
GB-NI:USE:8effbaa11f1e6318f2fcf49f,GB-NI,GB-NI:PRODUCT:5e8d9c222f9a455c946625cf,Roundup Tough,Roundup Tough,Roundup Tough | Roundup Tough,"[{""id"": ""GB-NI:AI:d22fdad88d35b630b33716b8"", ""label_original"": ""glyphosate"", ""label_en"": ""glyphosate""}]",glyphosate,"[{""id"": ""GB-NI:CROP:fad5f146d9bc8a583e16fdb3"", ""label_original"": ""areas not intended to bear vegetation, unwanted vegetation"", ""label_en"": ""areas not intended to bear vegetation, unwanted vegetation""}]","areas not intended to bear vegetation, unwanted vegetation",[],,[],,Expired,,15/06/2026,pairing_not_asserted,RAW:022abdf5fac17c527b0cc8ba,https://secure.pesticides.gov.uk/pestreg/
GB-NI:USE:669d35c07d90c89efd99aaa6,GB-NI,GB-NI:PRODUCT:c14f6a006c89accbab187433,Roundup Vista Plus,Roundup Vista Plus,Roundup Vista Plus | Roundup Vista Plus,"[{""id"": ""GB-NI:AI:d22fdad88d35b630b33716b8"", ""label_original"": ""glyphosate"", ""label_en"": ""glyphosate""}]",glyphosate,"[{""id"": ""GB-NI:CROP:c5f00b21239dee425c700559"", ""label_original"": ""all edible crops (before planting), all edible crops (destruction), all edible crops (stubble), all non edible crops (before planting), all non edible crops (destruction), all non edible crops (stubble), apple, barley, bulb onion, cherry, combining pea, durum wheat, enclosed waters, field bean, grassland, green cover on land not being used for crop production, land immediately adjacent to aquatic areas, leek, linseed, mustard, oats, oilseed rape, open waters, pear, plum, potato, sugar beet, swede, turnip, vining pea, wheat"", ""label_en"": ""all edible crops (before planting), all edible crops (destruction), all edible crops (stubble), all non edible crops (before planting), all non edible crops (destruction), all non edible crops (stubble), apple, barley, bulb onion, cherry, combining pea, durum wheat, enclosed waters, field bean, grassland, green cover on land not being used for crop production, land immediately adjacent to aquatic areas, leek, linseed, mustard, oats, oilseed rape, open waters, pear, plum, potato, sugar beet, swede, turnip, vining pea, wheat""}]","all edible crops (before planting), all edible crops (destruction), all edible crops (stubble), all non edible crops (before planting), all non edible crops (destruction), all non edible crops (stubble), apple, barley, bulb onion, cherry, combining pea, durum wheat, enclosed waters, field bean, grassland, green cover on land not being used for crop production, land immediately adjacent to aquatic areas, leek, linseed, mustard, oats, oilseed rape, open waters, pear, plum, potato, sugar beet, swede, turnip, vining pea, wheat",[],,[],,Valid,22/08/2025,09/09/2099,pairing_not_asserted,RAW:f171ce4d37fbb9a3bdcc2428,https://secure.pesticides.gov.uk/pestreg/getfullproduct.asp?productid=46673&pageno=1&origin=prodsearch
